Unnamed: 0,post_text,label,split
19927,try to have as good a life as you can under the circumstances . ,0,train
13245," realdonaldtrump full of yourself ? ? remember , no matter what you think of yourself office you re only of , https t . co ervjoveqrd",0,train
12303," politicomag o man woman if we had mr . truman ! ! ! ! hey , we can act like him ! ! ! ! defend america against sins agai https t . co t s anw a",0,train
17707,two and a half hours late to work ,0,train
18820,michael tarallo is now following me on twitter ! thank you michael tarallo ! say hello anyti https t . co c tb xqbvn https t . co tyzq azlrb,0,train
16206,which would you rather have ,0,train
16895, yongzter i miss you more yong ourfourthluckysun,0,train
15924, gha sudin done and done . haha,0,train
16423, maskstim see you on the next level . . . season . . . ? ,0,train
14195,rt dj rocklee the fresh prince of bel air gets added to netflix tomorrow me https t . co ezfk bco h,0,train
11589,rt rae dawn chong the douchebag our soon to be leader . the same sleaze who mocked the disabled reporter is lying about it again . he . . . ht ,0,train
14765,drawing underboobs in public missionimpossible,0,train
17250,we will always fight for you wearepayting foryong,0,train
14645, the oa i m honestly so pissed right now and i have so many regrets,0,train
18706,user andrep https t . co eclcnqbhah,0,train
11761,"i feel this way and every time i remember that i feel this way , it s like i m feeling it for the first time and it scares and hurts me . ",0,train
10365,"rt madelainepetsch cherry cola , of course . days . riverdale https t . co olptezoax",0,train
11049, dearjohns ur so cute ily i also love the moon choker ! ! ! ,0,train
10321, lydiamcrtins i did and i have work in like hours so i wanna die a little but it s fine,0,train
14337,slow down they don t love you like i love you,0,train
12745," salon trump on n . korean nukes , china issuesand joe scarborough treating as comedy today ! ! watch first third hour https t . co ggb ucpn m",0,train
12809,california sends devastating message to trump you re not our president https t . co qnsthx xa via political dig well thanks from m ! ,0,train
14053,rt da michaelscott the realest https t . co xke njkols,0,train
11567,rt mizkpoto is orin hatch finished sucking up yet ? jeffsessions stopsessions sessions,0,train
14746, hananyxnyx swordie,0,train
16967,not everything you lose is a lost tuesyong tilltheend,0,train
12329, mcccain your strident bashing of pres . obama is sicking ! djt denigrated u so bad amp you spend the last days of the https t . co wjkdm ona ,0,train
10205,rt rgay welp . violating women never gets in the way of a white man s career,0,train
15446,me as a teacher anak awak perangai macam haram . sila pakai condom next time . do the world a favour . https t . co cjigd d gs,0,train
15739,blocked https t . co q f ckvvv,0,train
16836,get out . https t . co w zckznuqd,0,train
19749,try to relax and enjoy the crisis . ashleigh brilliant,0,train
10468, adclaidekanes this was in my drafts but hey thanks s ,0,train
11656," josinaanderson i love your work , but i love you more . lol",0,train
19580,aaa intermodal ephrata trucking llc https t . co kcvhc pn,0,train
16478, nuyayaa ashrafariff thankyou ! ,0,train
14418,rt daniel akhtar who s chimney you dropping down tonight asyed ,0,train
10111,who is this leaving in this flashback and why does kirsten hate her dad so bad,0,train
17030,be with someone who makes you laugh gopaytwin yong,0,train
11989,i feel sick to my stomach . ,0,train
11017, cameronhoodkin i mean at least on my side of stan twitter everyone loves archieronnie and bettyronica ? ? ? ? idk in the real world tho,0,train
10655,rt infatuatedlly i love girls . girlsgirlsgirlsgirlsgirls . girls are so pretty . thnx for existing and being pretty . i love girls,0,train
13840,aleph dabbed ! ,0,train
10813,fly high allison argent semi ib ac morgs edits vine by stydiella https t . co oojkga km,0,train
16171, chaldeaprince the prophecy itself is around k . sides . i found a cheaper alternative for a red saber,0,train
16412, farisaalia please extend your neck forward . sila kedepankan leher anda . ,0,train
12061,rt missyelliott it may not be your time but that don t mean give up ! if u give up your blessing may be right round the corner amp u may mis ,0,train
18047,"happyrobot is now following me on twitter ! thank you happyrobot ! say hello anytime , i am a https t . co avhvtvlsbk https t . co hsssxfhlli",0,train
13727, gt aleph glances at you while fighting off the enemies surrounding him . ,0,train
16289, nekoloveskookie the cat looks broken . holy hell,0,train
11646, angela rye are people still bothering you because you complained that the tsa violated you ? you ve got more patience than i ll ever have . ,0,train
16426,rt literallypeach azfarovski idk why these drawings remind me of you https t . co kzyam ozpi,0,train
10056,ohhh wow wow https t . co wtdsoazz n,0,train
14814,sigh . can i kill myself now,0,train
